Handle	Title	Body (HTML)	Vendor		Type	Tags	Published	Option1 Name	Option1 Value	Option2 Name	Option2 Value	Option3 Name	Option3 Value	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Variant Barcode	Image Src	Image Position	Image Alt Text	Gift Card	Variant Image	Variant Weight Unit	Variant Tax Code	Cost per item
aeromax-round-neck-essential-full-sleeve-t-shirt	Aeromax Round Neck Essential Full Sleeve T-Shirt	"<p><strong>Designed for those who value effortless style and all-day comfort.</strong><br>Crafted from premium fabric, this tee offers a soft, breathable feel with the durability and sleek look you need.</p> <ul> <li> <p>? Regular fit for a relaxed yet stylish vibe</p> </li> <li> <p>? Sizes from S to 3XL—find your perfect fit</p> </li> <li> <p>? Premium fabric for lasting comfort and wear</p> </li> <li> <p>? Trendy printed design to elevate everyday fashion</p> </li> </ul> <p>Perfect for casual outings, layering, or making a statement wherever you go!</p>"	TEES				2025-06-10T21:56:05+05:30	Color	LightGray	Size	S				0			deny	manual	99	3499		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-22.jpg?v=1749572775	1			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-22.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	LightGray	Size	M				0			deny	manual	99	3499		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-24.jpg?v=1749572775	2			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-22.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	LightGray	Size	L				0			deny	manual	99	3499		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-27.jpg?v=1749572775	3			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-22.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	LightGray	Size	XL				0			deny	manual	99	3499		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-26_2.jpg?v=1749572775	4			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-22.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	LightGray	Size	XXL				0			deny	manual	99	3499		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-21.jpg?v=1749572775	5			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-22.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	LightGray	Size	3XL				0			deny	manual	99	3499		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-26.jpg?v=1749572775	6			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-22.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	Black	Size	S				0			deny	manual	99	3499		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-23.jpg?v=1749572775	7			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-21.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	Black	Size	M				0			deny	manual	99	3499		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-24_2.jpg?v=1749572775	8			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-21.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	Black	Size	L				0			deny	manual	99	3499		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-21.jpg?v=1749572775			
aeromax-round-neck-essential-full-sleeve-t-shirt								Color	Black	Size	XL				0			deny	manual	99	3499		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-25_23-07-21.jpg?v=1749572775			
