name,price,size,img1
Men's Retro Business Stripe Print Half Sleeve POLO T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/6c523710e957068c1be17e14c034583ab9c1d225-2000.jpg?v=1748507382
Men's Vintage Business Coconut Tree Logo Stripe Print Half Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/2275327385aefa76472743d2d89f364c88d9a6b1-1200.jpg?v=1748507380
Men's Casual Business Stripe Logo Button Short Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/8b5ef12486728ab1041dc06eabdd5e7094735ce6-1200.jpg?v=1748507379
Men's Casual Business Stripe Print Button-Down Short Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/0ec8615e076f7222752d94799f59721578c2bfa8-1200.jpg?v=1748507377
Men's Retro Business Stripe Print Half Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d8cf83c361b844b9005cc6cebc3db2ced1444d15-1300_9ab368dc-54ff-4e71-94cb-ae4a64330b02.jpg?v=1748507375
,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d8cf83c361b844b9005cc6cebc3db2ced1444d15-1300_23fe9e5d-9fa2-4157-9f57-937c09ea2092.jpg?v=1748507375
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d8cf83c361b844b9005cc6cebc3db2ced1444d15-1300.jpg?v=1748507375
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d8cf83c361b844b9005cc6cebc3db2ced1444d15-1300.jpg?v=1748507375
,99.0,2XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d8cf83c361b844b9005cc6cebc3db2ced1444d15-1300.jpg?v=1748507375
,99.0,3XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d8cf83c361b844b9005cc6cebc3db2ced1444d15-1300.jpg?v=1748507375
,99.0,4XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d8cf83c361b844b9005cc6cebc3db2ced1444d15-1300.jpg?v=1748507375
,99.0,5XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d8cf83c361b844b9005cc6cebc3db2ced1444d15-1300.jpg?v=1748507375
Men's Retro Business Stripe Print Half Sleeve POLO T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/32ecb0a248bd1d88f604c6162e454657726f5ca7-1200.jpg?v=1748507371
,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/32ecb0a248bd1d88f604c6162e454657726f5ca7-1200.jpg?v=1748507371
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/32ecb0a248bd1d88f604c6162e454657726f5ca7-1200.jpg?v=1748507371
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/32ecb0a248bd1d88f604c6162e454657726f5ca7-1200.jpg?v=1748507371
,99.0,2XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/32ecb0a248bd1d88f604c6162e454657726f5ca7-1200.jpg?v=1748507371
,99.0,3XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/32ecb0a248bd1d88f604c6162e454657726f5ca7-1200.jpg?v=1748507371
,99.0,4XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/32ecb0a248bd1d88f604c6162e454657726f5ca7-1200.jpg?v=1748507371
,99.0,5XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/32ecb0a248bd1d88f604c6162e454657726f5ca7-1200.jpg?v=1748507371
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/794b7e0cee63d95e2c221b579aa7a5346e377ab3-1800.jpg?v=1748507369
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/24e147cd21a953f340e722dfa71a62e90bc85dee-1100.jpg?v=1748507367
Men's Business Stripe Logo Button-Down Short Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/a75c3977cb36798e23d61d0e735a14d643a50407.jpg?v=1748507366
Men's Casual Business Button Short Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/2b239f78e381f09aed2574469a2cc8a137f133fe.jpg?v=1748507364
Men's Casual Business Button Short Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/4b63de01ec62f5b707e7ba9b6bf7406bbc7945b7.jpg?v=1748507362
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/aca75ef39c705a1dcab0506a5ea0d7db46bb1ed1-1000.jpg?v=1748507360
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ebd72a6acb30ee95700e0ce6d2916a928139a47b-1300.jpg?v=1748507358
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/a5f711ebc78eefe6962d86b4221638872b7a3943-1100.jpg?v=1748507357
